,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000425-Pd_1.xyz,-153.07323286,97.94326511846576,66.66919027208348,8.191241580631543,215.3571239153382,65.183829380869,6529.798178052111,21092.77988279025
1,pp000425-Pd_2.xyz,-153.07304251,98.32929949696361,66.67151975400671,8.18424137417758,215.22315243172815,65.1281235078784,6555.763833809451,21162.74181414005
2,pp000425-Pd_3.xyz,-153.07295571,98.59808372160246,66.5329155795751,8.18424137417758,215.22315243172815,65.1281235078784,6560.017980557255,21220.59040229074
3,pp000425-Pd_7.xyz,-153.07167971,96.87450788828487,61.751071561684675,7.546222557373413,203.19306314004575,60.050931083877124,5982.104669112466,19684.227998005128
4,pp000425-Pd_6.xyz,-153.07207271,97.9003763401913,67.49557398434588,8.392247508809659,219.22628800630514,66.78338373388509,6607.842094364687,21462.33609948044
5,pp000425-Pd_4.xyz,-153.07246726,97.65109230252025,66.7280096906448,8.197241757592085,215.47199635527514,65.23157727200382,6516.063033464621,21041.07580469728
6,pp000425-Pd_5.xyz,-153.07215269,96.09446195225885,66.42284755870294,8.197241757592085,215.47199635527514,65.23157727200382,6382.8677974904695,20705.665555539246
7,pp000425-Pd_8.xyz,-153.07088533,93.6457259166089,64.47190644800597,7.920233587913787,210.20472592758387,63.027216297946836,6037.518480551216,19684.77415059041
8,pp000425-Pd_9.xyz,-153.0702463,94.91412705792936,65.7507920238539,8.199241816578931,215.51029534822035,65.24749323571541,6240.679028311558,20454.97155497287
9,pp000425-Pd_13.xyz,-153.06891519,94.10736365271256,64.429975773388,7.9302338828480226,210.39367608951187,63.10679611650487,6063.335160241684,19799.59418598671
10,pp000425-Pd_12.xyz,-153.06915177,95.34508989787876,65.54637998509132,8.146240253427488,214.4967397992348,64.82572019735794,6249.525492159053,20451.210938959954
11,pp000425-Pd_10.xyz,-153.06959096,96.17356553211769,68.0383432724562,8.396247626783353,219.303744172743,66.81521566130829,6543.490065410286,21091.223011636073
12,pp000425-Pd_11.xyz,-153.06918841,95.47901728137124,64.56741520685799,7.9302338828480226,210.39367608951187,63.10679611650487,6164.833352349066,20088.181435241728
13,pp000425-Pd_15.xyz,-153.06723806,97.9152971413726,63.12313641446142,7.850231523374144,208.88439315826346,62.47015756804074,6180.720658517387,20452.977424286666
14,pp000425-Pd_14.xyz,-153.06833934,96.49511244558653,65.12416138650764,8.039237097631178,212.45885980040106,63.9742161387872,6284.163275915579,20501.241566500805
15,pp000425-Pd_16.xyz,-153.06623883,95.72339512027499,64.85335911293329,8.011236271815322,211.92734804466912,63.75139264682477,6207.9837192444,20286.4052736719
