,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000298-Pd_2.xyz,-131.96858151,104.59742408717375,77.70103428997392,9.616283608759971,244.07565881508143,76.52395352538596,8127.328035640431,25529.6851944374
1,pp000298-Pd_3.xyz,-131.96798067,102.89934077125625,77.71967014535967,9.565282104595376,242.98163758872062,76.1180964507401,7997.302822916996,25002.65032739965
2,pp000298-Pd_1.xyz,-131.97186323,104.49176045773139,77.78838986209468,9.602283195852042,243.77469368887608,76.41254177940473,8128.245799862618,25472.446898594884
3,pp000298-Pd_4.xyz,-131.96610904,101.98072912411102,77.41625512486023,9.534281190299248,242.31976618901012,75.87139901321025,7894.966143691443,24711.94643713936
4,pp000298-Pd_5.xyz,-131.96480715,104.42206240142025,77.81809075661573,9.602283195852042,243.77469368887608,76.41254177940473,8125.925528946712,25455.456276266927
