,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000110-Pd_6.xyz,-108.40207078,98.89105871629884,68.09133898620946,8.440248924493984,220.15700707936625,67.16536686296355,6733.624601756649,21771.559513890228
1,pp000110-Pd_7.xyz,-108.39928946,99.52775799296825,68.33011088333954,8.467249720816419,220.6817489171472,67.3802323730702,6800.7427396297035,21963.959699690808
2,pp000110-Pd_5.xyz,-108.40251267,99.2232449752976,68.09890980245993,8.439248895000562,220.13758913084854,67.15740888110776,6756.994809880177,21842.765934601597
3,pp000110-Pd_4.xyz,-108.40304151,100.83418945742964,68.54034662691018,8.491250428658581,221.1489347447037,67.57122393760943,6911.2102972557595,22299.3735843562
4,pp000110-Pd_1.xyz,-108.40469508,98.49655866212512,68.24042582929557,8.493250487645428,221.1878990665198,67.58713990132102,6721.44710582361,21786.24687575768
5,pp000110-Pd_3.xyz,-108.4030838,101.4992012645692,68.81231364144614,8.550252168770564,222.3005001784545,68.0407448671017,6984.394871773802,22563.323208827354
6,pp000110-Pd_2.xyz,-108.40330135,99.50439347573716,68.08726239284383,8.444249042467678,220.23469090930374,67.19719879038675,6774.9817478232935,21914.31934124671
7,pp000110-Pd_8.xyz,-108.39913591,98.58194642939436,68.5892657472978,8.512251048020474,221.5583093597176,67.73834155658125,6761.663321531606,21841.649384286866
