,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000135-Pd_4.xyz,-148.56053661,86.43396503195135,54.92801900857249,7.426219018162599,200.96316645818825,59.095973261180966,4747.646474261313,17370.043302357262
1,pp000135-Pd_5.xyz,-148.56052541,86.29899060344978,55.01013324636601,7.379217631971696,200.09202168350703,58.721948113958305,4747.318972122661,17267.739499090243
2,pp000135-Pd_7.xyz,-148.55877458,86.53212336040004,54.64615169586284,7.317215803379442,198.94463532653177,58.22855323889862,4728.647539717537,17215.101725965247
3,pp000135-Pd_6.xyz,-148.5596741,86.98656714972383,56.583698285501306,7.32221595084656,199.03709388095447,58.26834314817763,4922.021670491472,17313.55353216153
4,pp000135-Pd_2.xyz,-148.56081258,86.55811709739933,54.657799105478944,7.362217130583497,199.77721818596547,58.586662422409674,4731.076175258175,17292.339845133494
5,pp000135-Pd_3.xyz,-148.56068903,86.9253345042632,54.84648714125978,7.373217455011155,199.9808971977778,58.67420022282349,4767.549241137777,17383.406383379508
6,pp000135-Pd_1.xyz,-148.56092671,86.43341806484997,54.793491427506524,7.339216452234758,199.35154693451972,58.40362883972624,4735.9887517864445,17230.635598065903
7,pp000135-Pd_10.xyz,-148.55828493,87.15897083219959,54.81270965337309,7.352216835649263,199.59211021396206,58.507082603851664,4777.41936191217,17396.242912475886
8,pp000135-Pd_11.xyz,-148.55790983,86.06974905161964,55.60589824822959,7.367217278050615,199.86979169169493,58.62645233168869,4785.985708015017,17202.742813903675
9,pp000135-Pd_13.xyz,-148.55754896,86.2696861482952,54.96470834886321,7.41821878221521,200.81480137872379,59.03230940633455,4741.78813848901,17324.22988887474
10,pp000135-Pd_12.xyz,-148.55769028,87.17905544533279,55.053811032426395,7.419218811708635,200.83334507905596,59.040267388190365,4799.539244472775,17508.461325918674
11,pp000135-Pd_16.xyz,-148.55698815,86.25967416646753,53.377166418188594,7.169211438352771,196.21321909194404,57.050771924240024,4604.296983162261,16925.2883460248
12,pp000135-Pd_17.xyz,-148.55692203,86.00381032291793,54.78126164740962,7.349216747168993,199.53658791099485,58.48320865828426,4711.3972359739555,17160.90685917944
13,pp000135-Pd_15.xyz,-148.55732216,86.94962112671999,53.650298173686174,7.217212854037095,197.09799148490637,57.43275505331847,4664.87309953757,17137.59568445009
14,pp000135-Pd_29.xyz,-148.55398406,86.17573828251942,54.626933469996274,7.327216098313675,199.12956494573683,58.30813305745662,4707.516321886999,17160.137273075772
15,pp000135-Pd_28.xyz,-148.55404911,86.00437972666417,58.52008013417815,7.688226745439545,205.84340147731186,61.18096450740092,5032.983193494674,17703.434064882913
16,pp000135-Pd_14.xyz,-148.55738487,88.46862296230519,55.01420983973164,7.311215626418901,198.83370148304184,58.18080534776381,4867.031387880359,17590.54376870277
17,pp000135-Pd_19.xyz,-148.55552462,86.42231314503796,54.346813268729036,7.471220345366654,201.7983902736302,59.45408244469203,4696.777314745005,17439.88367639225
18,pp000135-Pd_25.xyz,-148.55440907,86.26855157582571,54.67352310846068,7.287214918576738,198.39014306922948,57.98981378322457,4716.605648114339,17114.830289503265
19,pp000135-Pd_30.xyz,-148.55384909,86.74588374963004,57.22896477823332,7.651225654182877,205.15152477336179,60.88651917873627,4964.377125764299,17796.050319049387
20,pp000135-Pd_24.xyz,-148.55462138,86.29161692168644,54.850563734625425,7.305215449458361,198.7227854479275,58.133057456629004,4733.143833726844,17148.110475483045
21,pp000135-Pd_18.xyz,-148.55613458,86.61306366081952,56.24592340663437,7.41821878221521,200.81480137872379,59.03230940633455,4871.631744680401,17393.18517585023
22,pp000135-Pd_26.xyz,-148.55431811,86.478362498851,54.4918235184495,7.41221860525467,200.7035507319232,58.98456151519974,4712.36366745189,17356.514415001788
23,pp000135-Pd_27.xyz,-148.55411533,85.998923888361,53.859951546775996,7.196212234675204,196.71078037468473,57.26563743434666,4631.897873702001,16916.91542946261
24,pp000135-Pd_23.xyz,-148.55471818,86.12928478934712,54.24373369362654,7.2112126770765546,196.98733986529442,57.38500716218366,4671.973987335864,16966.378695153853
25,pp000135-Pd_22.xyz,-148.55510266,86.2139329385,53.25428624673872,7.125210140642137,195.40303297897336,56.700620722584745,4591.2614631640145,16846.463981228713
26,pp000135-Pd_20.xyz,-148.55533861,86.48292370928374,55.0439107342527,7.406218428294129,200.59231981069695,58.93681362406493,4760.358332691,17347.81029085675
27,pp000135-Pd_21.xyz,-148.55521278,86.1322700349314,53.2053671263511,7.119209963681596,195.2926139678965,56.65287283144994,4582.699048634535,16820.996162110478
28,pp000135-Pd_8.xyz,-148.55874249,86.3427827647673,56.48760715616847,7.3292161573005234,199.16655688917962,58.324049021168236,4877.29719358657,17196.594755489106
29,pp000135-Pd_9.xyz,-148.55848441,86.25182334208465,54.32351844949683,7.259214092760881,197.87300880363216,57.76699029126213,4685.502516626477,17066.907799497643
