,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000067-Pd_8.xyz,-75.80708702,86.62752947878312,61.351565411852405,7.480220610807466,201.96557432163866,59.52570428139425,5314.734541284735,17495.778743247116
1,pp000067-Pd_9.xyz,-75.80669546,86.81927211259713,62.27462262392843,7.6192247103933255,204.55389648230684,60.63186375935062,5406.63740729614,17759.220400389422
2,pp000067-Pd_10.xyz,-75.80581745,87.35971711933017,61.14249440924338,7.3922180153862005,200.33285705808626,58.82540187808372,5341.391015561729,17501.021722301623
3,pp000067-Pd_1.xyz,-75.81329003,87.55495927439502,63.907007081625046,7.715227541761978,206.34888853127202,61.39583001750756,5595.375402380155,18066.8685316722
4,pp000067-Pd_2.xyz,-75.81259095,89.74156173397002,64.04619362653746,7.7282279251764825,206.5924568271999,61.499283781632975,5747.605439161708,18539.929718130694
5,pp000067-Pd_3.xyz,-75.812112,87.88869277029619,62.60307957510249,7.582223619136657,203.8637321291251,60.33741843068597,5502.102827250587,17917.316920102636
6,pp000067-Pd_7.xyz,-75.80871492,87.3640656563542,62.39983227730153,7.626224916847291,204.68456913551745,60.687569632341244,5451.503044019661,17882.076136797918
7,pp000067-Pd_6.xyz,-75.80992983,87.77271044617694,63.82955180767797,7.674226332531616,205.58149899995934,61.06955276141969,5602.492768724569,18044.445384814448
8,pp000067-Pd_4.xyz,-75.81175967,87.40637871769822,62.35615449124114,7.555222822814224,203.3606539530632,60.12255292057934,5450.325654840722,17775.018335700217
9,pp000067-Pd_5.xyz,-75.81167771,87.51083823774132,63.643775624301156,7.696226981386932,205.99312162631443,61.24462836224733,5569.520153497323,18026.630744727776
