,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000133-Pd_2.xyz,-97.22418199,87.03396141813631,59.647549385016774,7.2472137388397995,197.6514927529202,57.67149450899252,5191.36251186193,17202.392394494706
1,pp000133-Pd_3.xyz,-97.22367992,86.78176681248634,59.72209280655982,7.2672143287082696,198.02072353593076,57.83065414610855,5182.788731492542,17184.58825393497
2,pp000133-Pd_14.xyz,-97.21791613,89.72577279731134,59.67433842713381,7.2472137388397995,197.6514927529202,57.67149450899252,5354.326131542874,17734.432931797946
3,pp000133-Pd_1.xyz,-97.22449579,86.84020342062827,59.584071002609015,7.2472137388397995,197.6514927529202,57.67149450899252,5174.292846495725,17164.095837054425
4,pp000133-Pd_15.xyz,-97.21746887,87.69271657562105,58.78680581438688,7.154210995951418,195.93692968137285,56.931402196403,5155.1747006671,17182.24164124602
5,pp000133-Pd_11.xyz,-97.21955771,87.2990238403875,59.18980618710399,7.182211821767275,196.45274663224262,57.154225688365436,5167.212301435907,17150.133011757756
6,pp000133-Pd_4.xyz,-97.22284773,87.48073024734131,59.519427879239664,7.231213266945025,197.35624125971398,57.5441667992997,5206.803014779851,17264.868104270252
7,pp000133-Pd_5.xyz,-97.22268113,87.75815930759954,59.4903093551994,7.2382134733989885,197.48539938285083,57.5998726722903,5220.7600456519685,17330.955139965143
8,pp000133-Pd_10.xyz,-97.22059493,88.1645303764746,59.144963660082,7.1932121461949325,196.65548029096618,57.24176348877924,5214.487945224786,17338.03806581309
9,pp000133-Pd_12.xyz,-97.21944593,86.94787428736018,59.429742825195675,7.215212795050249,197.0611058322353,57.41683908960688,5167.289808095259,17134.044256829377
10,pp000133-Pd_7.xyz,-97.22190126,88.08113579521476,60.17401229966456,7.286214889083315,198.37166754598596,57.98185580136877,5300.195348709678,17472.801787041186
11,pp000133-Pd_6.xyz,-97.22249762,88.70736217101683,59.52001024972047,7.231213266945025,197.35624125971398,57.5441667992997,5279.863105644587,17506.95157013602
12,pp000133-Pd_13.xyz,-97.21930446,87.92890409944887,59.80537178531494,7.250213827320071,197.70686549958222,57.695368454559926,5258.620800342843,17384.1480163154
13,pp000133-Pd_8.xyz,-97.2212822,89.12456258894521,59.40411852404025,7.223213030997636,197.2086591686911,57.48050294445328,5294.366079436944,17576.135487161973
14,pp000133-Pd_9.xyz,-97.22121426,88.47032677393304,59.28706205739843,7.207212559102862,196.9135809890398,57.35317523476047,5245.1457536844855,17421.00885632568
