,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000390-Pd_11.xyz,-277.94262451,108.60750240403371,62.11330600074544,7.709227364801437,206.23651332491104,61.34808212637275,6745.9710307984415,22398.832616734806
1,pp000390-Pd_10.xyz,-277.94278288,108.42770693353978,61.66779258292956,7.708227335308013,206.21778662351213,61.34012414451694,6686.497341420204,22359.72173249741
2,pp000390-Pd_12.xyz,-277.94257066,108.28645533678184,61.44998602310846,7.615224592419633,204.47924096253817,60.600031831927424,6654.201166937202,22142.33219378894
3,pp000390-Pd_8.xyz,-277.94322166,108.99545538002734,62.12670052180395,7.699227069867203,206.0492783098855,61.26850230781474,6771.528014632603,22458.43492011196
4,pp000390-Pd_9.xyz,-277.94292251,110.1906770565697,61.95839545285129,7.769229134406845,207.361441635194,61.82556103772084,6827.237544288373,22849.29764920839
5,pp000390-Pd_13.xyz,-277.94212464,108.42448301256532,61.71030562802833,7.6192247103933255,204.55389648230684,60.63186375935062,6690.907984266371,22178.650474299924
6,pp000390-Pd_17.xyz,-277.94090951,107.76657737292426,62.15407193440179,7.7112274237882845,206.2739688679478,61.36399809008436,6698.131602161011,22229.439626027866
7,pp000390-Pd_16.xyz,-277.94166223,109.58148040057989,61.65672754379427,7.786229635795044,207.68065565658566,61.960846729269456,6756.435480904186,22757.95369741172
8,pp000390-Pd_14.xyz,-277.94189484,108.71684127351914,62.43826872903466,7.841231257933334,208.71492392265935,62.39853573133854,6788.091350807795,22690.827255514378
9,pp000390-Pd_15.xyz,-277.94175657,109.09724970855386,61.197819604919864,7.564223088255035,203.52829545198475,60.19417475728155,6676.513807056976,22204.377271681507
10,pp000390-Pd_2.xyz,-277.94746619,109.35505265580595,60.47276835631755,7.714227512268555,206.33015754182898,61.38787203565176,6613.002767847462,22563.245242467445
11,pp000390-Pd_3.xyz,-277.94733518,109.66002187084601,60.535664368244504,7.717227600748825,206.38635266087786,61.41174598121917,6638.342278587886,22632.331946636004
12,pp000390-Pd_1.xyz,-277.94799,109.74142956729905,60.35221766679091,7.721227718722519,206.46128953929502,61.44357790864237,6623.138644310436,22657.357064350283
13,pp000390-Pd_4.xyz,-277.94732688,109.08803914691255,60.57643030190085,7.659225890130265,205.30103988378474,60.95018303358269,6608.164000153979,22395.887875744163
14,pp000390-Pd_5.xyz,-277.94730361,110.91556024711346,60.44714405516213,7.679226479998733,205.67501992501582,61.10934267069871,6704.528848216281,22812.560063819354
15,pp000390-Pd_7.xyz,-277.94653132,107.18459860346377,60.30795751024972,7.654225742663146,205.20758782561302,60.910393124303674,6464.084218330865,21995.09293147337
16,pp000390-Pd_6.xyz,-277.94729814,109.54054598437963,60.35920611256057,7.617224651406479,204.5165674014725,60.61594779563903,6611.78039275359,22402.856456008478
