,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000550-Pd_34.xyz,-217.84542163,92.57161534661222,66.12700335445398,9.111268714581126,233.50064325926533,72.50517268820627,6121.483518552649,21615.53173098323
1,pp000550-Pd_20.xyz,-217.84694252,90.39110631807274,65.61509970182632,9.073267593831034,232.72583712329975,72.20276937768581,5931.0214532187265,21036.345886374667
2,pp000550-Pd_21.xyz,-217.84689942,90.19946039031436,64.35834420424898,8.926263258297785,229.75238981568538,71.03294604488302,5805.087918837374,20723.541584759976
3,pp000550-Pd_35.xyz,-217.84524867,89.6144189065883,65.77525158404771,9.077267711804728,232.80727274083466,72.23460130510902,5894.410949139087,20862.88846389751
4,pp000550-Pd_23.xyz,-217.84681391,89.96180987926384,65.04612374207977,8.937263582725445,229.9736284080158,71.12048384529683,5851.66701746805,20688.843836086387
5,pp000550-Pd_37.xyz,-217.84513002,91.92102635573887,65.68556653000373,9.114268803061396,233.56192419541063,72.52904663377369,6037.884692196112,21469.251789663424
6,pp000550-Pd_36.xyz,-217.84515404,92.5720080656289,66.95280469623556,9.203271427976084,235.38758785886574,73.23730701894,6197.955576356395,21790.301681819852
7,pp000550-Pd_22.xyz,-217.84683946,89.40136932501323,64.62215803205366,8.969264526514994,230.61836940276132,71.37513926468247,5777.309416803,20617.598016108597
8,pp000550-Pd_26.xyz,-217.84654247,93.29457483206954,64.71475493850167,8.948263907153102,230.19506623848798,71.20802164571064,6037.535547349086,21475.950833159823
9,pp000550-Pd_32.xyz,-217.84575911,90.60868114110299,64.73921449869549,9.022266089666438,231.6900219369391,71.79691230303995,5865.934843837771,20993.12732125927
10,pp000550-Pd_33.xyz,-217.845472,90.1340406477335,65.7630218039508,9.08926806572581,233.05175233918297,72.33009708737865,5927.486880395087,21005.89611836544
11,pp000550-Pd_27.xyz,-217.84651531,89.95427588650604,66.17825195676481,9.099268360660044,233.2556843470527,72.40967690593665,5953.01673420553,20982.346181850546
12,pp000550-Pd_31.xyz,-217.84588988,90.62611869473777,65.12066716362281,9.003265529291392,231.30529218135425,71.64571064777972,5901.633311850994,20962.30086394841
13,pp000550-Pd_25.xyz,-217.84656825,92.24188220736657,65.46717759970183,9.044266738521754,232.1362819302584,71.97198790386759,6038.815684600443,21412.687573866933
14,pp000550-Pd_19.xyz,-217.84714459,90.8126041939451,65.53880916884086,9.028266266626979,231.81164539422264,71.84466019417476,5951.749936392445,21051.419200732696
15,pp000550-Pd_18.xyz,-217.84718987,89.63657314925122,64.96925083861349,8.996265322837429,231.16370614959118,71.59000477478912,5823.621005247429,20720.722455729843
16,pp000550-Pd_24.xyz,-217.84668218,89.73924505422079,66.04663622810287,9.049266885988871,232.237823033644,72.01177781314658,5926.9752734807,20840.84691207494
17,pp000550-Pd_30.xyz,-217.84637396,91.51533357526925,64.43696421915766,8.93926364171229,230.01387497239847,71.13639980900844,5896.970275093902,21049.79649503932
18,pp000550-Pd_3.xyz,-217.8484329,88.89021001193866,65.0170052180395,8.871261636159495,228.6491381646657,70.59525704281394,5779.375248178843,20324.669910505912
19,pp000550-Pd_43.xyz,-217.84419435,88.04281090758194,65.47125419306747,9.088268036232385,233.0313691115778,72.32213910552284,5764.27325280247,20516.736766225575
20,pp000550-Pd_42.xyz,-217.84420598,92.35268935641183,66.47409616101379,9.15627004178518,234.42160869238418,72.86328187171733,6139.061553006355,21649.46600599809
21,pp000550-Pd_2.xyz,-217.84845635,90.10428621661795,64.23837588520314,8.863261400212108,228.4890673511791,70.53159318796753,5788.153006851032,20587.844321978737
22,pp000550-Pd_40.xyz,-217.84458466,89.43487740270022,65.5457976146105,9.073267593831034,232.72583712329975,72.20276937768581,5862.080373924891,20813.806711563095
23,pp000550-Pd_54.xyz,-217.84152213,91.80501278938594,63.13420145359672,8.444249042467678,220.23469090930374,67.19719879038675,5796.036171895115,20218.648615595088
24,pp000550-Pd_55.xyz,-217.84124178,91.58582431198566,63.667070443533355,8.491250428658581,221.1489347447037,67.57122393760943,5831.001128100261,20254.107484311215
25,pp000550-Pd_41.xyz,-217.84424457,89.60566797478894,64.95643868803577,9.038266561561214,232.01449067173638,71.92424001273277,5820.465077904869,20789.813416471377
26,pp000550-Pd_1.xyz,-217.84901258,89.6804813795424,65.13639116660454,8.89826243248193,229.19012680717987,70.81012255292059,5841.462915147268,20553.880899506254
27,pp000550-Pd_5.xyz,-217.84806127,88.91903517534092,62.53203037644428,8.785259099725078,226.93357500028992,69.91087060321502,5560.287808628536,20178.714537916647
28,pp000550-Pd_45.xyz,-217.84396333,87.98989430427167,65.57316902720835,9.096268272179774,233.19448567333956,72.38580296036926,5769.776211900204,20518.75814673614
29,pp000550-Pd_51.xyz,-217.84239575,92.74297397000657,65.85154211703316,9.210271634430049,235.53182135114088,73.29301289193062,6107.267856444798,21843.921576677098
30,pp000550-Pd_50.xyz,-217.84285282,90.09600043957015,66.75887532612747,9.240272519232752,236.15105340803743,73.53175234760465,6014.707660727989,21276.265411655495
31,pp000550-Pd_44.xyz,-217.84405721,88.13921114311147,64.38862746925084,9.022266089666438,231.6900219369391,71.79691230303995,5675.162831727446,20420.975763252005
32,pp000550-Pd_4.xyz,-217.84823185,90.90223452792321,64.5115076407007,8.884262019574,228.90946917088317,70.69871080693936,5864.240197304885,20808.38225223403
33,pp000550-Pd_6.xyz,-217.84795188,91.69799731814952,63.45974655236676,8.877261813120036,228.76925761942334,70.64300493394875,5819.1316691693755,20977.682771660937
34,pp000550-Pd_52.xyz,-217.84222695,91.08147603950837,63.10275344763324,8.441248953987408,220.1764262306891,67.17332484481935,5747.491926167611,20053.99389019509
35,pp000550-Pd_46.xyz,-217.84371991,90.67831788710185,64.22614610510622,9.019266001186166,231.6292336589045,71.77303835747253,5823.918893182271,21003.749281667933
36,pp000550-Pd_47.xyz,-217.84355804,92.42916550225402,67.35347558702944,9.273273492515726,236.83427750101743,73.79436574884609,6225.42554218557,21890.394631748295
37,pp000550-Pd_53.xyz,-217.84167961,92.6691185184802,63.36714964591875,8.446249101454525,220.27354005674042,67.21311475409834,5872.177900715916,20412.554790003273
38,pp000550-Pd_7.xyz,-217.84790614,91.4022851084806,65.43514722325754,8.992265204863735,231.0828374484399,71.55817284736591,5980.921982615589,21121.49939213898
39,pp000550-Pd_9.xyz,-217.84777217,89.13155566224016,65.23306466641819,8.918263022350398,229.59161338607763,70.96928219003661,5814.324534333365,20463.8576681047
40,pp000550-Pd_49.xyz,-217.84294365,89.3418674479806,66.10778512858741,9.163270248239145,234.56521074213018,72.91898774470795,5906.1929762378395,20956.49396603103
41,pp000550-Pd_48.xyz,-217.84327236,88.30518309353864,63.97397968691762,8.990265145876887,231.04241332553732,71.5422568836543,5649.233989475582,20402.242611084606
42,pp000550-Pd_8.xyz,-217.84784396,90.14938195931494,65.21442881103242,8.94726387765968,230.17492725772843,71.20006366385486,5879.040452144314,20750.12743481449
43,pp000550-Pd_29.xyz,-217.8464154,88.73267621210302,64.07764163250094,8.920263081337245,229.63179770979576,70.9851981537482,5685.780627411878,20375.843954186446
44,pp000550-Pd_15.xyz,-217.84745129,89.13483535854873,65.81252329481924,9.044266738521754,232.1362819302584,71.97198790386759,5866.188428414366,20691.429270599234
45,pp000550-Pd_14.xyz,-217.84756745,88.69348515453635,65.3035314945956,8.940263671205713,230.03400072703778,71.14435779086423,5791.997801154712,20402.517228522127
46,pp000550-Pd_28.xyz,-217.84647535,93.09326194968295,64.38920983973165,8.971264585501842,230.65872247124298,71.3910552283941,5994.201578343242,21472.772871994646
47,pp000550-Pd_16.xyz,-217.84742793,89.84656737831438,64.361256056653,8.93326346475175,229.8931550301399,71.08865191787363,5782.637928847018,20655.110843228736
48,pp000550-Pd_17.xyz,-217.84734486,90.34907407595657,64.92207882966828,8.92426319931094,229.7121859164766,71.01703008117141,5865.649709346791,20754.28330151765
49,pp000550-Pd_13.xyz,-217.84762754,90.80879242690345,66.0856550503168,9.064267328390223,232.5427117059844,72.1311475409836,6001.158531860162,21116.922837697988
50,pp000550-Pd_12.xyz,-217.84766006,90.46659253317048,63.60126257920239,8.850261016797603,228.22916669344957,70.42813942384213,5753.789506347886,20647.11502744135
51,pp000550-Pd_10.xyz,-217.84775526,90.93669462291608,62.24899832277302,8.74525791998814,226.1394496214518,69.59255132898296,5660.718151060425,20564.374072420276
52,pp000550-Pd_38.xyz,-217.84506325,90.85527147135848,64.41133991800224,8.999265411317698,231.2243756073151,71.61387872035652,5852.109774084042,21007.95341659797
53,pp000550-Pd_39.xyz,-217.84493332,89.01642946444098,65.15677413343272,9.053267003962565,232.31908768714757,72.04360974056979,5800.023388779226,20680.21568234625
54,pp000550-Pd_11.xyz,-217.84771788,88.09602367986668,63.61873369362654,8.810259837060665,227.43111645944504,70.10982014961006,5604.557469956855,20035.777021149785
