Ligand_ID,NoPd_R_NBO_min,NoPd_R_NBO_max,NoPd_R_NBO_avg,NoPd_Rback_NBO_min,NoPd_Rback_NBO_max,NoPd_P_NMR_min,NoPd_P_NMR_max,NoPd_P_NMR_avg,NoPd_aniso_P_NMR_min,NoPd_aniso_P_NMR_max,NoPd_aniso_P_NMR_avg,NoPd_P_NBO_min,NoPd_P_NBO_max,NoPd_P_NBO_avg,NoPd_P_LP_occ_min,NoPd_P_LP_occ_max,NoPd_P_LP_occ_avg,NoPd_P_LP_eng_min,NoPd_P_LP_eng_max,NoPd_P_LP_eng_avg,NoPd_P_R_bond_occ_min,NoPd_P_R_bond_occ_max,NoPd_P_R_bond_occ_avg,NoPd_P_R_bond_eng_min,NoPd_P_R_bond_eng_max,NoPd_P_R_bond_eng_avg,NoPd_P_R_antibond_occ_min,NoPd_P_R_antibond_occ_max,NoPd_P_R_antibond_occ_avg,NoPd_P_R_antibond_eng_min,NoPd_P_R_antibond_eng_max,NoPd_P_R_antibond_eng_avg,NoPd_P_RBack_bond_occ_min,NoPd_P_RBack_bond_occ_max,NoPd_P_RBack_bond_occ_avg,NoPd_P_RBack_bond_eng_min,NoPd_P_RBack_bond_eng_max,NoPd_P_RBack_bond_eng_avg,NoPd_P_RBack_antibond_occ_min,NoPd_P_RBack_antibond_occ_max,NoPd_P_RBack_antibond_occ_avg,NoPd_P_RBack_antibond_eng_min,NoPd_P_RBack_antibond_eng_max,NoPd_P_RBack_antibond_eng_avg,NoPd_LP_P_s_min,NoPd_LP_P_s_max,NoPd_LP_P_s_avg,quadrants_3.0_Ang_min,quadrants_3.0_Ang_max,quadrants_3.0_Ang_avg,quadrants_4.0_Ang_min,quadrants_4.0_Ang_max,quadrants_4.0_Ang_avg,quadrants_5.0_Ang_min,quadrants_5.0_Ang_max,quadrants_6.0_Ang_min,quadrants_6.0_Ang_max,quadrants_7.0_Ang_min,octants_3.0_Ang_min,octants_3.0_Ang_max,octants_3.0_Ang_avg,octants_4.0_Ang_min,octants_4.0_Ang_max,octants_5.0_Ang_min,octants_5.0_Ang_max,octants_6.0_Ang_min,Homo,Lumo,dipole,bite_angle,NoPd_Homo,NoPd_Lumo,NoPd_dipole,pol,TSNE1,TSNE2,PC1,PC2,PC3,PC4,PC5,tsne_ward_clusters,pca_kmeans_clusters
63,-0.27532,-0.23807,-0.2625875,-0.52296,-0.27859,242.6726,254.172,248.4223,49.4818,51.8224,50.6521,0.77951,0.78709,0.7833,1.91442,1.92482,1.91962,-0.34804,-0.32757,-0.337805,1.92947,1.94755,1.9415775,-0.49332,-0.47784,-0.4887675,0.04713,0.06555,0.056675,0.16542,0.18144,0.1734275,1.94853,1.95858,1.953555,-0.538,-0.50675,-0.522375,0.03177,0.04081,0.03629,0.19876,0.21695,0.207855,47.01,49.29,48.15,55.2145411203814,75.8008045292014,66.2675059594756,61.9343926509838,75.4437961641115,69.2364688721991,60.3173977484154,70.2004036454227,50.6621615492766,62.0132432309855,35.5809134536015,23.6516686531585,55.8998808104887,40.0029797377831,31.360561107318,55.0307243498231,28.4191605436599,44.5980889912018,19.6326364007438,-0.22254,-0.08453,10.3742,108.391906699605,-0.18655,-0.02473,0.6129,503.78,-7.0370417,24.90488,-8.000064825376297,6.591390106336958,-0.2034504985086982,0.1675443659728772,-3.415977499993613,4,4
67,-0.36895,-0.2842,-0.325845,-0.51893,-0.3392,265.239,316.5439,290.89145,54.5327,57.2007,55.8667,0.79802,0.89681,0.847415,1.83973,1.91641,1.87807,-0.32174,-0.30847,-0.315105,1.94221,1.95707,1.949395,-0.56453,-0.49725,-0.52926,0.04042,0.06056,0.05023,0.1851,0.25372,0.2189775,1.93475,1.95317,1.94396,-0.5785,-0.49117,-0.534835,0.04515,0.04728,0.046215,0.18713,0.25118,0.219155,40.86,46.5,43.68,54.0189213349225,63.4050953516091,58.6728992848629,56.1138352678294,65.1992427533983,60.4866240456831,52.5275141118224,60.7793825486424,47.1123406957232,51.6980361921176,35.8017909292224,17.1707389749702,32.8665077473182,25.8306019070322,17.7083979889517,34.4081683321954,12.2733436347009,28.3639746460219,8.15275069164134,-0.22363,-0.068,9.8685,95.2490196555107,-0.17633,-0.01837,1.2375,523.1,-0.056405947,11.852488,-1.3786382188695072,-0.5804499291413935,-0.1830209775655555,1.805506182731111,0.8269430223810231,3,12
68,-0.32513,-0.27628,-0.300475,-0.53178,-0.28099,251.6244,301.5453,276.58485,38.5853,49.9476,44.26645,0.78654,0.84056,0.81355,1.88407,1.92308,1.903575,-0.34304,-0.32002,-0.33153,1.94318,1.95161,1.94814,-0.5582,-0.49508,-0.5265975,0.03681,0.06373,0.048085,0.18012,0.23481,0.2079575,1.94736,1.94984,1.9486,-0.54467,-0.50689,-0.52578,0.04138,0.04481,0.043095,0.20093,0.22011,0.21052,45.38,45.75,45.565,59.8107866507747,65.2935041716329,63.5363900476758,60.6293836509217,68.8659921792564,65.0347588604059,57.786730156728,65.151682381508,51.6885119506554,57.7881083042315,35.7075764389769,30.6317044100119,39.5411203814064,33.8721692491061,28.3905406244181,43.073055676246,21.6675601526284,36.1546466525811,17.1753821034968,-0.2276,-0.07578,10.2713,104.905495196699,-0.18592,-0.03299,0.9563,537.33,-1.4233679,24.347921,-5.181011483922704,2.532376072399998,-0.6458983339053994,-0.0971629426933933,0.177665514503862,4,0
70,-0.28969,-0.03932,-0.16673,-0.51915,-0.33934,263.8112,348.7607,306.28595,50.7741,90.2061,70.4901,0.78901,0.87954,0.834275,1.85106,1.91733,1.884195,-0.33534,-0.3203,-0.32782,1.94291,1.96126,1.9525825,-0.59868,-0.49994,-0.5498575,0.03091,0.05958,0.049095,0.18536,0.23884,0.2105775,1.93758,1.95035,1.943965,-0.58584,-0.49637,-0.541105,0.04651,0.05689,0.0517,0.18803,0.23368,0.210855,43.18,45.49,44.335,47.9290822407628,65.0588498212157,56.7965956495828,46.9011855254174,67.0582210911799,58.1128576748805,45.6923465043676,61.7955914351487,43.0014966665155,51.3742119824028,36.2959188901476,9.0435041716329,35.01936829559,23.0985548271752,5.7879709515238,36.819564272857,3.97338462993914,30.609252309924,2.4028300603202,-0.22848,-0.07668,10.9634,96.7889144212663,-0.18522,-0.02187,1.2167,435.01,0.1585844,10.159698,1.4907976324830436,-0.6587035152864144,0.9291293209515696,0.4315368707098673,2.143351974357095,3,5
71,-0.34136,-0.26476,-0.3027625,-0.49553,-0.32944,288.034,292.0278,290.0309,36.958,68.2693,52.61365,0.81215,0.86015,0.83615,1.86509,1.91066,1.887875,-0.32977,-0.32237,-0.32607,1.93691,1.9621,1.94802,-0.56594,-0.49458,-0.5297775,0.03726,0.06482,0.0502825,0.18365,0.23962,0.212695,1.93224,1.95776,1.945,-0.56405,-0.52037,-0.54221,0.03609,0.04948,0.042785,0.19767,0.23501,0.21634,44.11,44.84,44.475,51.8958581644815,70.1839988081049,60.1199344457688,53.311402147601,69.4587548879647,61.0580504003476,50.4146826022516,64.3428147961275,44.3929429906118,52.2449997732323,35.4795830653012,12.8203218116806,43.869189511323,29.497541716329,15.0456210042828,41.7789088200608,12.8299328308789,33.2439847371574,8.80312032291714,-0.22753,-0.07263,11.8485,97.4409276194523,-0.18265,-0.02535,1.6751,476.6,-1.2152504,11.339832,-1.7668258545255338,0.8541345064478363,0.1356736834735357,0.8957929077098629,0.0014287340451332,3,12
73,-0.32891,-0.3037,-0.3135125,-0.49049,-0.34647,295.6952,321.5091,308.60215,36.1767,74.5473,55.362,0.83934,0.86726,0.8533,1.86778,1.86987,1.868825,-0.34938,-0.3479,-0.34864,1.95029,1.96147,1.95439,-0.59436,-0.58146,-0.58765,0.0357,0.05346,0.0454,0.21087,0.21899,0.2152075,1.93561,1.95149,1.94355,-0.60826,-0.54296,-0.57561,0.03918,0.05053,0.044855,0.17202,0.22393,0.197975,42.13,42.96,42.545,49.9962753277712,59.8182359952324,54.7284713945173,54.6008937992676,60.4214511824219,56.2790950282416,50.4769638295859,56.6916842735959,45.2487641162865,52.7484239648057,37.1367334043025,15.4797377830751,24.0837306317044,19.7016537544696,13.0252622431879,24.4739618893923,7.71656522973101,21.4925420201192,5.20477119143725,-0.25151,-0.0928,12.4387,91.1684115226289,-0.21331,-0.06252,4.5967,565.31,14.145066,-14.994112,3.106871642237639,0.0089832450785213,2.294982052868698,-3.8303109957799504,1.5814033869536606,9,2
74,-0.29845,-0.28342,-0.29049,-0.5307,-0.33828,263.8086,317.9986,290.9036,38.5739,54.1066,46.34025,0.79646,0.88709,0.841775,1.82283,1.9146,1.868715,-0.32527,-0.3233,-0.324285,1.94231,1.95473,1.9484475,-0.56382,-0.50061,-0.5311275,0.04278,0.06117,0.0521625,0.18022,0.24041,0.2098825,1.93529,1.95113,1.94321,-0.58276,-0.49686,-0.53981,0.04479,0.04681,0.0458,0.18701,0.24019,0.2136,41.86,46.35,44.105,61.4570917759237,65.2562574493445,62.8482568533969,63.7514741480976,66.0852833467817,64.8128607783502,59.7686922519,64.9104411718331,49.7637081046759,60.6376706426595,35.2749298372452,30.1921930870083,36.4198450536353,32.0172824791418,32.6391906151077,38.5481968841164,26.6137933209296,38.6143609473054,17.628010340605,-0.22559,-0.07554,10.8341,95.258200317585,-0.18319,-0.05495,1.0552,571.56,-2.4694812,25.349148,-5.059339876872053,0.7950413039854219,0.820459725859263,-0.0635592651116017,1.0862941668707895,4,0
76,-0.49289,-0.27605,-0.3817825,-0.53535,-0.29168,254.9063,272.9151,263.9107,39.0482,45.5219,42.28505,0.79332,0.83266,0.81299,1.89155,1.9243,1.907925,-0.33296,-0.32031,-0.326635,1.94304,1.95507,1.948275,-0.51889,-0.49274,-0.5047975,0.03129,0.06391,0.04707,0.18253,0.20669,0.1947625,1.94998,1.96058,1.95528,-0.54662,-0.50577,-0.526195,0.04113,0.04138,0.041255,0.20208,0.22663,0.214355,45.62,46.28,45.95,61.6544994040524,65.386620977354,64.0373584624553,63.1323319471169,67.9427099497238,66.0771367388741,61.1893349310965,64.5375421777932,51.7814866887387,57.7010295251485,35.7958135748564,33.2389749702026,38.5056615017878,34.7940256257449,32.2233256781081,42.1451182421948,27.4999211630034,35.4514206426792,20.6476484194294,-0.22655,-0.07566,10.7692,103.887176906053,-0.17948,-0.02365,0.6939,542.1,-2.9238,23.203846,-6.004191319033481,3.851795005681441,-2.165234284003382,0.5788669419719652,-0.5553168451914748,4,0
80,-0.32409,-0.30096,-0.30942,-0.49242,-0.3377,304.0824,319.1506,311.6165,35.2612,63.7151,49.48815,0.83807,0.87613,0.8571,1.84786,1.87938,1.86362,-0.32159,-0.31332,-0.317455,1.95188,1.96131,1.9551075,-0.56169,-0.55672,-0.5601925,0.03663,0.0446,0.04232,0.23482,0.24717,0.241125,1.93144,1.95001,1.940725,-0.57593,-0.51197,-0.54395,0.04919,0.05233,0.05076,0.19758,0.23603,0.216805,40.52,43.19,41.855,53.6054827175209,61.5837306317044,57.3655393325387,56.3652163118366,58.584197132394,57.6368630128484,53.2906562391599,57.2932105578506,50.6898272030478,54.868701528414,43.9247308767356,14.2803933253874,28.3075089392133,22.8676251489869,16.5756315560797,28.3719198063435,17.7777427391126,26.0508971650216,15.205224726745,-0.22509,-0.06912,10.7861,96.8302540924821,-0.18254,-0.05799,1.6576,657.26,4.928244,8.39654,-0.2713585635808175,-3.4539119626193484,0.3384178916253618,-0.4091042813246308,2.0933411000983964,3,10
81,-0.52477,-0.48719,-0.5012775,-0.31663,-0.29981,286.955,294.2051,290.58005,37.4386,88.4536,62.9461,0.85154,0.85578,0.85366,1.90517,1.91196,1.908565,-0.32173,-0.31611,-0.31892,1.94881,1.95918,1.9538575,-0.51506,-0.50456,-0.50916,0.03318,0.04306,0.0375425,0.21417,0.22377,0.2183925,1.94883,1.95017,1.9495,-0.55925,-0.55667,-0.55796,0.03477,0.03676,0.035765,0.24336,0.24397,0.243665,44.03,44.99,44.51,60.2987187127533,65.6696960667461,64.0662246722288,63.6195766867358,66.032524362237,65.1992427533983,61.0805398757529,61.900444640661,54.3249126944533,58.2801941131117,46.2610225260869,25.9088200238379,40.5020858164482,33.3134684147795,30.504003475886,38.2875054310719,28.1432310554697,33.7832297940778,23.7407592181051,-0.23011,-0.06645,11.6611,105.445068839969,-0.17618,-0.01704,1.3282,693.03,-4.1187453,19.881752,-5.538444314457509,1.2520233895701274,-2.501502992136716,1.4132285786990773,-1.3628527943513726,4,0
