,file,bite_angle,buried_volume,solid_angle,equivalent_cone_angle,G_param
228,pp000135-Pd_97,86.18534691461747,55.568626537458066,7.281214741616197,198.27929714478432,57.942065892089765
229,pp000135-Pd_83,86.2209857763521,54.92219530376444,7.2672143287082696,198.02072353593076,57.83065414610855
230,pp000067-Pd_7,87.08418988863558,59.95445862840104,7.303215390471514,198.68581737420115,58.11714149291739
231,pp000135-Pd_54,85.98817041857559,55.04682258665673,7.2932150955372785,198.50100635322664,58.03756167435938
232,pp000135-Pd_40,86.64192970462416,55.37877376071562,7.2472137388397995,197.6514927529202,57.67149450899252
233,pp000135-Pd_68,86.40281119948685,54.847069511740585,7.19521220518178,196.69234657858516,57.25767945249085
234,pp000110-Pd_11,97.03708257200975,67.84674338427133,8.429248600066327,219.94347562833394,67.07782906254974
235,pp000425-Pd_15,93.63317207908489,64.51267238166231,7.925233735380904,210.2991904641986,63.067006207225845
236,pp000091-Pd_32,92.88571620111453,57.33961516958629,6.834201558055912,190.06225731949067,54.384848002546555
237,pp000091-Pd_26,90.64672158812674,57.347185985836745,6.8422017940033,190.20873673301017,54.448511857392965
238,pp000321-Pd_1,86.5677841114084,49.56788110324264,5.85617271348777,172.20621672353317,46.601941747572816
239,pp000091-Pd_27,92.88151978545594,58.19919399925456,6.9112038290495175,191.47284189807428,54.99761260544326
240,pp000091-Pd_33,93.05316074359624,57.381545844204254,6.853202118430958,190.41017328887955,54.536049657806785
241,pp000425-Pd_14,94.50320132106611,65.04670611256057,7.988235593466582,211.4912766114943,63.56835906414133
242,pp000110-Pd_10,102.03912366641293,68.37495341036154,8.51425110700732,221.59732628196522,67.75425752029285
243,pp000135-Pd_69,86.55731048253463,54.24489843458815,7.455219873471879,201.50128987074373,59.32675473499921
244,pp000135-Pd_41,86.47490097402071,54.93850167722698,7.222213001504213,197.19021343448185,57.47254496259748
245,pp000135-Pd_55,86.20007303199594,54.4347512113306,7.286214889083315,198.37166754598596,57.98185580136877
246,pp000067-Pd_6,87.61566008477337,64.10268356317555,7.674226332531616,205.58149899995934,61.06955276141969
247,pp000135-Pd_82,86.53280996882312,53.569931047335075,7.334216304767641,199.2590455782207,58.363838930447244
248,pp000135-Pd_96,87.06065887626949,55.544166977264254,7.373217455011155,199.9808971977778,58.67420022282349
249,pp000390-Pd_5,101.52236556532239,66.08914927320164,8.324245503256863,217.91234736865087,66.24224096769059
250,pp000298-Pd_5,116.39616696093434,74.9994176295192,9.274273522009148,236.85501555015696,73.80232373070189
251,pp000298-Pd_7,111.9204184445438,75.2073238911666,9.418277769062128,239.86315822173765,74.94827311793729
252,pp000091-Pd_9,92.04386143973365,58.30751490868431,6.922204153477176,191.67449140939257,55.08515040585707
253,pp000390-Pd_7,101.58354539540936,66.05420704435335,8.324245503256863,217.91234736865087,66.24224096769059
254,pp000135-Pd_80,86.0373061206225,54.575684867685425,7.2122127065699795,197.005780691004,57.39296514403948
255,pp000135-Pd_94,86.8237530008014,53.68873462541931,7.318215832872865,198.96312603972032,58.23651122075442
256,pp000067-Pd_4,87.99142989723849,62.85116939992545,7.630225034820984,204.7592538531248,60.71940155976444
257,pp000135-Pd_43,87.16908381896998,56.035105292582934,7.33721639324791,199.3145448677385,58.38771287601463
258,pp000135-Pd_57,86.35867259153879,54.94490775251584,7.22121297201079,197.1717681490514,57.464586980741686
259,pp000110-Pd_12,98.27519142931278,68.10298639582557,8.468249750309843,220.70120084080494,67.388190354926
260,pp000091-Pd_19,92.16530094237473,58.496202944465146,6.882202973740237,190.94138961590485,54.76683113162502
261,pp000425-Pd_16,94.17341560561226,66.49564386880358,8.32024538528317,217.8352195431725,66.2104090402674
262,pp000091-Pd_25,94.05175816321501,58.40651789042117,6.888203150700778,191.05132551400283,54.81457902275982
263,pp000135-Pd_8,86.44737895402216,54.78009690644801,7.367217278050615,199.86979169169493,58.62645233168869
264,pp000321-Pd_3,83.66928329661822,51.05467294073798,5.993176754086783,174.70899842751308,47.692185261817606
265,pp000091-Pd_31,93.22397347439149,58.0536013790533,6.909203770062671,191.4361821985034,54.98169664173166
266,pp000091-Pd_30,91.49835954531561,57.334373835259036,6.840201735016452,190.17211532103795,54.43259589368136
267,pp000091-Pd_24,93.27643681667404,58.473490495713754,6.870202619819155,190.72154801633937,54.671335349355395
268,pp000321-Pd_2,85.52524718454917,50.108320909429736,5.879173391836509,172.62661931151777,46.78497533025624
269,pp000135-Pd_9,86.34004894823657,55.93551994036526,7.3662172485571915,199.85127594457586,58.61849434983288
270,pp000425-Pd_17,95.06390396247569,65.25228289228475,8.007236153841628,211.85147561911967,63.719560719401564
271,pp000091-Pd_18,91.38906004407009,58.7198332090943,6.89720341614159,191.21624852650567,54.88620085946204
272,pp000110-Pd_13,98.19429796065252,67.7617172940738,8.394247567796507,219.26501375498577,66.7992996975967
273,pp000135-Pd_56,86.220781889088,54.40679742825195,7.210212647583131,196.9688994827526,57.377049180327866
274,pp000135-Pd_42,86.55821956942265,56.01413995527395,7.581223589643234,203.84509134148976,60.329460448830176
275,pp000670-Pd_8,104.33643270939245,59.42450149086843,7.200212352648897,196.7845199195354,57.297469361769856
276,pp000067-Pd_5,86.58269614582285,60.804137159895646,7.3762175434914266,200.03645706104777,58.6980741683909
277,pp000135-Pd_95,86.2110217838259,54.00845601938129,7.264214240227998,197.9653269864549,57.80678020054114
278,pp000135-Pd_81,87.10259169123914,56.21331065970928,7.481220640300889,201.9841532425353,59.533662263250044
279,pp000390-Pd_6,101.02538113883311,66.28482575475215,8.35524641755299,218.5106963413305,66.48893840522044
280,pp000091-Pd_8,92.1285648533035,58.41117685426761,6.931204418917987,191.83950433205152,55.156772242559285
281,pp000298-Pd_6,112.73723143382497,76.09543887439433,9.457278919305642,240.6856329223378,75.25863441031355
