,file,bite_angle,buried_volume,solid_angle,equivalent_cone_angle,G_param
2619,pp000133-Pd_9,88.06615743087266,58.946375326127466,7.185211910247545,196.50803246045794,57.17809963393283
2620,pp000091-Pd_108,95.43543940207759,59.54272269847186,7.101209432799974,194.96144219645151,56.50962915804551
2621,pp000135-Pd_506,86.48891313683419,54.67701733134551,7.192212116701509,196.6370477984314,57.233805506923446
2622,pp000135-Pd_1116,85.9434983832744,55.3770266492732,7.2382134733989885,197.48539938285083,57.5998726722903
2623,pp000135-Pd_512,86.33383063050577,54.339242452478565,7.278214653135926,198.22388065744352,57.918191946522356
2624,pp000135-Pd_1102,85.68318001014103,55.02236302646292,7.327216098313675,199.12956494573683,58.30813305745662
2625,pp000670-Pd_144,100.68023718361265,58.891050130450985,7.272214476175385,198.11306056270814,57.870444055387544
2626,pp000135-Pd_274,86.50089728093437,56.65882407752516,7.698227040373778,206.0305587087227,61.260544325958925
2627,pp000135-Pd_1664,86.44422799528485,53.8954761461051,7.422218900188905,200.8889794922297,59.06414133375776
2628,pp000067-Pd_162,87.16164995629765,60.45180301900858,7.385217808932237,200.20316526316807,58.7696960050931
2629,pp000091-Pd_134,92.63628245026987,58.179393402907195,6.904203622595554,191.34453807875565,54.94190673245266
2630,pp000321-Pd_12,85.89987021629314,50.90675083861349,5.972176134724891,174.32555406838372,47.52506764284578
2631,pp000091-Pd_120,93.88268632176664,59.49380357808424,7.0852089609052,194.66717284498955,56.3823014483527
2632,pp000067-Pd_176,87.52903751728513,60.49955739843459,7.389217926905931,200.2772716471963,58.801527932516315
2633,pp000135-Pd_1658,86.58332844366335,53.158195117405896,7.19821229366205,196.74764927400352,57.28155339805825
2634,pp000135-Pd_248,86.19111357520089,54.83775158404771,7.291215036550432,198.46404998947966,58.02164571064778
2635,pp000425-Pd_598,95.88196248231168,60.38715989563921,7.503221289156205,202.39303849803272,59.70873786407767
2636,pp000425-Pd_407,95.53089499986898,67.15954621692136,8.098238837743162,213.58120084457906,64.44373706827948
2637,pp000110-Pd_126,101.72505918469774,68.46813268729035,8.463249602842724,220.60395345496093,67.34840044564699
2638,pp000425-Pd_361,94.4010702810351,63.162737607156174,7.7922298127555845,207.79337161978862,62.00859462040427
2639,pp000425-Pd_375,94.82729430028225,65.07291278419679,8.004236065361358,211.7945807074669,63.69568677383416
2640,pp000110-Pd_132,101.72383181726994,67.97544726052925,8.448249160441373,220.31239403417283,67.22903071780996
2641,pp000425-Pd_413,94.5758885839926,67.59457696608274,8.155240518868299,214.668654541168,64.89734203406016
2642,pp000458-Pd_8,89.37600944861921,61.25430954155796,7.482220669794312,202.00273274853666,59.54162024510584
2643,pp000135-Pd_1089,86.20848031952077,54.12027115169587,7.285214859589892,198.35319250443388,57.97389781951298
2644,pp000135-Pd_499,86.27536820664517,54.591991241147966,7.17221152683304,196.26848830980742,57.07464586980741
2645,pp000425-Pd_349,95.78056500230473,67.51828643309727,8.139240046973525,214.36308369436097,64.77001432436734
2646,pp000135-Pd_314,86.16179968518745,54.1132827059262,7.27621459414908,198.18693872117052,57.90227598281075
2647,pp000670-Pd_59,102.22038058906435,58.79845322400298,7.2122127065699795,197.005780691004,57.39296514403948
2648,pp000135-Pd_1704,87.22465410906197,53.01842620201267,7.371217396024309,199.9438599258728,58.658284259111895
2649,pp000067-Pd_33,87.95574737370919,61.10522269847186,7.389217926905931,200.2772716471963,58.801527932516315
2650,pp000135-Pd_472,87.09932922364433,54.44115728661946,7.309215567432055,198.79672749818442,58.164889384052216
2651,pp000298-Pd_27,111.74549177600765,74.12877376071562,9.146269746850946,234.2166232120015,72.78370205315932
2652,pp000135-Pd_1062,86.37175675103656,55.07652348117779,7.208212588596285,196.93202004513458,57.36113321661627
2653,pp000298-Pd_33,112.15050011089956,74.1608041371599,9.1442696878641,234.175648657925,72.76778608944771
2654,pp000135-Pd_466,86.84454445922353,54.56636693999255,7.244213650359529,197.59612416048185,57.647620563425114
2655,pp000135-Pd_1076,85.90014525684936,54.049804323518444,7.147210789497454,195.8080266274125,56.875696323412384
2656,pp000067-Pd_27,85.85684055986768,62.05972791651136,7.607224356472244,204.32996153543215,60.53636797708101
2657,pp000135-Pd_300,86.39391658248545,55.05264629146478,7.319215862366288,198.98161725123498,58.24446920261022
2658,pp000135-Pd_1710,86.10862045605053,54.799315132314575,7.210212647583131,196.9688994827526,57.377049180327866
2659,pp000670-Pd_65,103.15213079228369,58.161922288483034,7.146210760004031,195.7896135525353,56.86773834155659
2660,pp000135-Pd_328,85.64451911677588,56.019963660082,7.343216570208451,199.4255571840022,58.43546076714945
